CET,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees
2015-8-19,14,13,13,15,13,12,100,93,82,1023,1019,1015,29,10,3,19,6,,4.06,6,Rain,254
2015-8-20,18,15,12,14,12,11,100,84,57,1026,1024,1022,31,11,10,11,3,,5.08,6,Rain,258
2015-8-21,22,17,12,13,12,9,100,75,39,1026,1024,1021,26,10,10,13,5,,0.00,5,,291
2015-8-22,24,17,9,13,11,9,100,69,31,1024,1020,1013,31,11,8,21,5,34,0.00,2,,67
2015-8-23,25,18,11,13,11,9,94,61,29,1016,1012,1006,31,11,8,32,11,58,0.00,3,,165
2015-8-24,26,21,16,13,11,10,77,48,31,1011,1009,1005,31,11,10,39,21,69,0.00,5,,101
2015-8-25,19,16,12,13,12,10,94,77,51,1023,1019,1011,31,11,5,19,8,,4.06,6,Rain,102
2015-8-26,26,17,8,14,12,8,100,72,38,1024,1020,1013,14,10,10,14,5,,0.00,2,,276
2015-8-27,31,21,12,15,12,9,94,61,17,1019,1016,1009,31,12,6,21,6,45,0.00,3,,236
2015-8-28,31,22,14,17,14,12,88,62,25,1023,1019,1015,31,12,10,16,8,,3.05,4,,276
2015-8-29,32,23,14,18,16,14,94,64,27,1026,1022,1015,31,13,10,19,6,,0.00,1,,238
2015-8-30,33,24,17,16,14,12,88,56,18,1023,1020,1013,31,12,10,19,10,,0.00,1,,279
2015-8-31,32,23,14,14,12,6,82,53,12,1020,1016,1009,29,11,8,23,10,47,0.00,1,,242
2015-9-1,30,22,14,15,13,8,94,60,16,1017,1012,1005,29,11,10,40,11,77,11.94,4,Rain-Thunderstorm,240
2015-9-2,18,16,14,16,14,13,100,90,77,1018,1016,1014,31,10,5,19,6,,7.11,6,Rain,79
2015-9-3,21,17,12,14,13,11,100,84,56,1018,1014,1009,19,10,6,18,6,,3.05,6,Rain-Thunderstorm,84
2015-9-4,19,15,11,12,11,9,95,78,46,1018,1016,1013,31,11,10,14,5,,0.00,6,Rain,308
2015-9-5,12,11,11,12,10,8,94,89,77,1020,1017,1014,26,11,6,18,6,,16.00,6,Rain,258
2015-9-6,14,11,8,10,8,6,100,82,49,1027,1022,1020,31,12,10,23,6,,0.00,6,,62
2015-9-7,16,11,6,9,6,4,100,72,38,1027,1025,1023,31,11,10,14,5,,0.00,5,,317
2015-9-8,20,13,6,9,7,5,100,70,31,1027,1023,1018,31,11,10,21,5,,0.00,2,,107
2015-9-9,20,14,8,10,8,6,93,67,37,1022,1020,1016,29,12,10,26,6,,0.00,4,,71
2015-9-10,18,13,8,10,7,6,93,73,37,1021,1018,1014,31,11,10,19,6,,0.51,4,Rain-Thunderstorm,84
2015-9-11,22,14,7,11,8,5,100,69,27,1020,1018,1014,31,12,10,18,6,,0.00,4,,256
2015-9-12,24,17,8,10,8,7,94,62,23,1022,1019,1014,31,12,10,26,11,55,0.00,4,,225
2015-9-13,23,17,9,11,9,8,88,62,31,1019,1014,1008,26,10,10,37,16,72,0.00,4,,222
2015-9-14,18,14,12,13,11,9,94,74,32,1013,1009,1005,27,10,6,34,14,66,4.06,5,Rain,111
2015-9-15,22,16,10,12,11,8,100,77,32,1014,1011,1006,18,10,7,26,6,39,0.25,6,Rain,88
2015-9-16,24,17,9,12,10,9,94,62,30,1010,1006,1002,31,11,10,37,18,82,0.00,4,,229
2015-9-17,28,20,13,13,10,8,82,47,25,1016,1006,997,31,12,10,35,24,74,0.51,4,Rain,123
2015-9-18,19,14,9,12,10,9,94,75,45,1022,1018,1016,27,10,9,26,6,,1.02,5,Rain,81
2015-9-19,19,15,11,12,11,9,100,81,46,1024,1022,1018,31,11,9,27,10,,5.08,6,Rain,273
2015-9-20,17,13,10,11,9,7,100,81,51,1024,1023,1021,31,12,10,14,5,,0.51,6,Rain,93
2015-9-21,19,13,8,9,8,6,94,74,38,1023,1017,1011,29,11,10,11,5,,0.00,4,,203
2015-9-22,18,12,6,11,8,6,100,77,52,1014,1009,1004,31,11,10,19,5,,0.00,6,,266
2015-9-23,9,8,7,10,7,4,93,86,68,1020,1013,1005,31,11,9,23,6,,9.91,7,Rain,84
2015-9-24,12,9,7,8,7,6,100,87,67,1024,1021,1019,23,11,6,10,3,,0.25,6,Rain,95
2015-9-25,16,11,6,9,8,7,94,79,49,1024,1022,1020,31,12,10,13,5,,0.00,6,,285
2015-9-26,15,13,11,10,10,9,94,81,58,1024,1022,1021,31,12,10,13,3,,0.00,7,,77
2015-9-27,14,12,11,10,8,5,94,76,50,1030,1026,1024,31,11,9,14,5,,0.00,6,,74
2015-9-28,14,9,4,6,4,1,100,72,32,1033,1031,1030,31,11,6,26,8,39,0.00,4,,76
2015-9-29,16,9,2,5,3,1,93,70,33,1033,1029,1026,31,12,10,24,8,35,0.00,2,,92
2015-9-30,16,9,2,6,4,2,100,72,35,1032,1028,1024,31,11,10,24,6,42,0.00,1,Fog,89
2015-10-1,19,10,1,7,4,1,95,67,21,1028,1025,1022,31,13,10,26,10,47,0.00,2,,108
2015-10-2,23,13,3,8,6,3,100,63,27,1027,1022,1017,31,11,10,27,8,42,0.00,3,,104
2015-10-3,23,17,11,11,8,6,88,57,27,1019,1017,1014,26,11,10,29,18,63,0.00,4,,173
2015-10-4,20,13,6,10,8,6,100,73,35,1022,1018,1015,31,11,5,39,11,66,4.06,5,Fog-Rain,254
2015-10-5,19,12,4,9,7,5,100,80,38,1022,1017,1012,31,9,0,11,6,,2.03,5,Fog-Rain,256
2015-10-6,20,15,10,13,11,9,100,80,49,1014,1010,1005,29,11,6,23,6,42,10.92,6,Rain,233
2015-10-7,16,14,12,13,12,12,100,91,74,1018,1014,1011,31,11,6,13,3,,3.05,6,Rain,285
2015-10-8,15,13,11,12,11,8,100,83,59,1021,1019,1017,31,11,9,11,5,,0.00,6,Rain,165
2015-10-9,18,13,9,10,9,8,94,77,45,1021,1019,1015,31,11,10,14,5,,0.00,4,,101
2015-10-10,17,13,10,10,9,9,94,79,54,1018,1014,1009,27,12,7,18,5,,0.00,6,Rain,95
2015-10-11,15,11,8,10,8,6,100,83,56,1015,1012,1010,27,9,5,19,6,,0.76,5,Rain,78
2015-10-12,17,11,6,9,7,4,93,75,50,1016,1014,1011,31,11,5,19,5,,0.00,4,,97
2015-10-13,11,9,7,10,8,6,94,88,80,1015,1013,1010,13,9,6,11,5,,1.02,6,Rain,67
2015-10-14,8,7,5,8,5,4,100,87,73,1015,1013,1010,31,10,5,21,8,,2.03,6,Rain,81
2015-10-15,9,7,4,5,4,3,100,88,64,1015,1012,1010,24,11,6,13,5,,0.51,6,Rain,106
2015-10-16,8,7,4,5,4,3,100,87,71,1020,1016,1013,31,11,6,13,5,,2.03,6,Rain,91
2015-10-17,9,7,4,6,4,3,93,82,58,1020,1017,1016,31,11,9,14,6,,0.00,6,Rain,121
2015-10-18,12,9,6,7,5,4,94,85,59,1019,1017,1014,27,12,9,11,3,,0.76,6,Rain,76
2015-10-19,9,7,5,6,5,4,95,88,69,1022,1019,1017,29,11,8,11,5,,5.08,7,Rain,70
2015-10-20,12,7,3,5,3,1,100,80,45,1024,1021,1019,31,11,5,11,5,,0.00,5,Rain,249
2015-10-21,13,7,2,4,3,1,100,78,42,1024,1020,1017,27,11,2,14,5,,0.00,4,,256
2015-10-22,13,8,3,6,3,1,93,73,41,1022,1019,1016,31,12,10,13,6,,0.00,5,,262
2015-10-23,16,10,5,8,6,4,100,78,47,1026,1024,1022,26,11,8,14,5,,0.00,4,,139
2015-10-24,17,8,0,8,4,0,100,79,34,1026,1022,1019,29,12,7,8,3,,0.00,1,Fog,210
2015-10-25,15,9,2,7,4,2,100,79,44,1029,1025,1023,31,11,8,6,3,,0.00,5,,237
2015-10-26,18,9,1,8,4,1,100,81,38,1027,1021,1016,23,10,0,14,5,,0.00,1,Fog,244
2015-10-27,18,9,0,6,3,1,100,72,32,1022,1018,1013,31,13,2,26,6,,0.00,2,Fog,260
2015-10-28,19,12,4,8,4,2,87,69,34,1018,1014,1010,26,12,10,27,16,32,0.00,4,,263
2015-10-29,11,9,7,9,8,6,100,89,73,1024,1018,1011,26,10,5,19,8,,2.03,6,Rain,76
2015-10-30,17,11,4,9,7,5,100,85,52,1029,1025,1023,31,10,0,10,5,,0.00,3,Fog,206
2015-10-31,17,11,4,10,7,3,93,80,51,1033,1029,1026,27,10,6,13,5,,0.00,6,,241
2015-11-1,17,9,1,6,3,0,100,74,30,1036,1032,1029,31,14,2,19,5,,0.00,,,234
2015-11-2,16,7,-2,1,-1,-3,100,65,22,1035,1030,1026,31,15,10,26,8,,0.00,,,259
2015-11-3,18,9,-1,3,-1,-3,87,54,17,1030,1024,1020,31,14,10,29,13,,0.00,6,,263
2015-11-4,17,11,5,8,4,3,93,66,31,1024,1023,1020,27,12,10,11,5,,0.00,5,,243
2015-11-5,17,11,4,7,4,3,93,75,39,1026,1023,1021,31,12,10,10,5,,0.00,4,,251
2015-11-6,17,10,2,7,4,2,100,78,42,1030,1027,1024,24,12,8,8,3,,0.00,3,,244
2015-11-7,17,10,2,7,5,3,100,80,42,1032,1030,1027,31,12,10,8,3,,0.00,5,,229
2015-11-8,19,11,3,11,6,3,100,82,46,1035,1031,1027,31,13,9,8,3,,0.00,2,,234
2015-11-9,17,9,2,8,6,3,100,84,48,1031,1028,1026,27,10,2,11,3,,0.00,3,Fog,190
2015-11-10,18,10,3,7,5,3,100,79,38,1032,1028,1025,31,11,7,8,5,,0.00,4,,223
2015-11-11,16,9,1,7,4,1,100,83,50,1031,1028,1025,31,13,8,6,3,,0.00,2,Fog,247
2015-11-12,13,6,-1,4,2,0,100,82,41,1032,1029,1027,31,12,4,13,3,,0.00,2,Fog,230
2015-11-13,14,7,-1,5,2,-1,100,79,35,1031,1027,1025,29,14,10,8,3,,0.00,3,,199
2015-11-14,12,7,1,6,3,1,100,85,60,1032,1029,1025,23,11,8,10,5,,0.00,5,,129
2015-11-15,19,11,3,6,4,2,100,67,23,1026,1020,1016,31,11,6,40,10,74,0.00,5,Rain,253
2015-11-16,18,11,3,7,4,2,93,69,35,1023,1020,1017,31,14,10,8,3,,0.00,1,,244
2015-11-17,12,6,0,3,2,0,100,77,46,1023,1020,1018,21,11,8,10,3,,0.00,5,,244
2015-11-18,22,12,2,7,2,-1,93,66,20,1024,1020,1017,31,13,8,21,6,39,0.00,5,Rain,244
2015-11-19,13,6,-1,2,-1,-2,87,67,31,1026,1021,1016,24,12,10,13,5,,0.00,4,,228
2015-11-20,16,10,4,10,7,1,100,77,40,1016,1007,997,31,12,6,27,11,,5.08,6,Rain,270
2015-11-21,6,3,1,8,2,0,93,86,67,1000,997,994,26,11,7,13,6,,2.03,6,Rain-Snow,75
2015-11-22,3,1,-1,0,-1,-2,100,91,78,1015,1005,999,27,10,1,11,5,,2.03,6,Snow,59
2015-11-23,4,0,-4,-2,-4,-6,93,78,46,1029,1021,1014,27,11,10,11,5,,0.00,2,,219
2015-11-24,3,-2,-7,-5,-7,-9,93,76,35,1030,1023,1016,26,11,6,11,5,,0.00,2,,245
2015-11-25,2,-1,-5,-2,-4,-6,93,74,50,1019,1010,1006,31,12,10,11,3,,0.00,6,Snow,272
2015-11-26,2,0,-1,1,-1,-2,100,94,87,1022,1013,1007,13,7,1,14,3,,2.03,7,Rain-Snow,237
2015-11-27,3,1,-1,0,-1,-2,100,86,65,1022,1017,1013,18,9,5,11,5,,0.00,5,Snow,151
2015-11-28,1,-2,-4,-1,-3,-6,93,84,63,1025,1017,1013,29,12,9,13,6,,0.00,6,Snow,260
2015-11-29,4,1,-3,1,-2,-3,100,86,54,1028,1023,1021,26,10,3,14,6,,0.00,6,Fog-Rain,249
2015-11-30,9,4,-1,4,2,-1,100,86,52,1026,1023,1022,31,11,6,18,6,,0.00,6,Rain,98
2015-12-1,7,3,-1,7,4,0,100,95,87,1031,1027,1021,11,9,5,14,5,,2.03,6,Rain,89
2015-12-2,9,7,4,6,5,3,100,96,81,1033,1031,1029,14,6,0,11,5,,0.00,6,Fog,221
2015-12-3,8,3,-2,2,-1,-3,100,88,59,1036,1032,1029,19,6,0,8,5,,0.00,6,Fog,233
2015-12-4,8,2,-4,1,-2,-5,100,78,41,1037,1033,1030,31,12,6,8,3,,0.00,6,,247
2015-12-5,9,3,-2,1,-1,-2,100,82,49,1038,1034,1030,24,14,8,10,3,,0.00,3,,248
2015-12-6,8,2,-4,0,-2,-4,100,83,46,1038,1033,1030,31,13,5,8,3,,0.00,,,229
2015-12-7,8,2,-4,0,-2,-5,100,83,46,1042,1036,1033,31,14,8,8,5,,0.00,,,254
2015-12-8,9,2,-4,1,-2,-4,100,83,45,1038,1034,1030,31,13,9,11,3,,0.00,4,,118
2015-12-9,5,1,-3,3,1,-3,100,88,68,1042,1036,1033,31,12,3,10,5,,2.03,6,Rain,189
2015-12-10,6,1,-4,2,-2,-6,100,80,39,1043,1038,1034,27,13,8,11,5,,0.00,3,,249
2015-12-11,4,-1,-7,-4,-6,-7,93,75,36,1039,1032,1029,31,14,6,11,3,,0.00,5,,240
2015-12-12,3,-2,-6,-4,-6,-7,93,78,45,1034,1029,1025,31,15,8,13,5,,0.00,4,,256
2015-12-13,6,-1,-8,-4,-6,-8,100,77,33,1029,1025,1021,26,15,10,8,5,,0.00,1,,246
2015-12-14,6,-1,-7,-5,-7,-8,93,76,31,1031,1025,1021,31,14,5,8,3,,0.00,1,,256
2015-12-15,5,-1,-7,-3,-6,-9,93,77,40,1033,1029,1026,27,14,6,8,3,,0.00,5,,254
2015-12-16,3,-1,-4,3,-1,-5,100,91,74,1034,1032,1029,19,9,1,11,3,,5.08,6,Rain,259
2015-12-17,9,6,2,7,3,2,100,96,76,1034,1031,1028,27,5,0,11,3,,1.02,5,Fog-Rain,255
2015-12-18,6,2,-1,4,2,0,100,97,80,1032,1029,1027,31,7,0,11,6,,0.00,6,Fog,258
2015-12-19,10,5,0,6,2,0,100,94,64,1031,1028,1025,31,6,0,8,3,,0.00,5,Fog,252
2015-12-20,12,4,-3,4,1,-2,100,85,47,1030,1026,1024,27,8,0,16,5,,0.00,1,Fog-Snow,255
2015-12-21,8,3,-1,3,1,-1,100,84,57,1036,1029,1026,31,12,6,14,6,,0.00,5,,238
2015-12-22,9,3,-2,2,-1,-2,100,85,44,1037,1033,1030,31,13,7,14,5,,0.00,6,,249
2015-12-23,8,2,-4,1,-2,-4,100,86,48,1036,1032,1029,31,13,6,18,5,,0.00,1,,249
2015-12-24,9,2,-5,-1,-2,-5,100,82,40,1036,1030,1027,29,11,8,8,3,,0.00,3,,215
2015-12-25,8,2,-4,0,-2,-4,100,84,44,1040,1035,1031,27,14,5,8,5,,0.00,1,,243
2015-12-26,8,2,-5,0,-3,-6,100,83,40,1040,1035,1030,29,14,8,11,3,,0.00,,,245
2015-12-27,9,2,-6,-1,-3,-6,100,80,33,1039,1035,1032,31,14,10,6,3,,0.00,,,246
2015-12-28,8,1,-6,-2,-4,-6,93,78,33,1039,1033,1028,27,15,10,6,3,,0.00,,,230
2015-12-29,9,1,-6,-3,-5,-7,93,75,28,1036,1029,1025,31,17,3,8,3,,0.00,,,213
2015-12-30,7,0,-6,-3,-4,-7,93,80,37,1036,1029,1024,31,15,6,8,3,,0.00,,,246
2015-12-31,5,0,-6,-1,-4,-7,93,72,38,1029,1026,1023,27,12,8,11,5,,0.00,6,Rain-Snow,226
